"~id","~start_node_id","~end_node_id","~relationship_type"
"275","308","162","IS_AFFILIATED_TO"
"276","309","162","IS_AFFILIATED_TO"
"277","310","213","IS_AFFILIATED_TO"
"278","311","162","IS_AFFILIATED_TO"
"279","314","175","IS_AFFILIATED_TO"
"280","316","228","IS_AFFILIATED_TO"
"281","319","161","IS_AFFILIATED_TO"
"282","321","161","IS_AFFILIATED_TO"
"283","323","161","IS_AFFILIATED_TO"
"284","325","247","IS_AFFILIATED_TO"
"285","327","245","IS_AFFILIATED_TO"
"286","328","165","IS_AFFILIATED_TO"
"287","329","259","IS_AFFILIATED_TO"
"288","330","231","IS_AFFILIATED_TO"
"289","331","183","IS_AFFILIATED_TO"
"290","332","219","IS_AFFILIATED_TO"
"291","333","167","IS_AFFILIATED_TO"
"292","334","216","IS_AFFILIATED_TO"
"293","335","218","IS_AFFILIATED_TO"
"294","336","175","IS_AFFILIATED_TO"
"295","337","234","IS_AFFILIATED_TO"
"296","339","162","IS_AFFILIATED_TO"
"297","340","162","IS_AFFILIATED_TO"
"298","341","161","IS_AFFILIATED_TO"
"299","342","166","IS_AFFILIATED_TO"
"300","343","161","IS_AFFILIATED_TO"
"301","344","177","IS_AFFILIATED_TO"
"302","345","161","IS_AFFILIATED_TO"
"303","346","164","IS_AFFILIATED_TO"
"304","347","161","IS_AFFILIATED_TO"
"305","348","164","IS_AFFILIATED_TO"
"306","349","184","IS_AFFILIATED_TO"
"308","352","185","IS_AFFILIATED_TO"
"309","353","167","IS_AFFILIATED_TO"
"310","354","161","IS_AFFILIATED_TO"
"322","372","161","IS_AFFILIATED_TO"
"326","379","242","IS_AFFILIATED_TO"
"327","380","232","IS_AFFILIATED_TO"
"328","382","220","IS_AFFILIATED_TO"
"329","383","163","IS_AFFILIATED_TO"
"330","385","161","IS_AFFILIATED_TO"
"331","386","163","IS_AFFILIATED_TO"
"332","387","185","IS_AFFILIATED_TO"
"333","388","202","IS_AFFILIATED_TO"
"334","389","235","IS_AFFILIATED_TO"
"335","390","161","IS_AFFILIATED_TO"
"336","393","161","IS_AFFILIATED_TO"
"337","394","169","IS_AFFILIATED_TO"
"338","395","222","IS_AFFILIATED_TO"
"339","396","249","IS_AFFILIATED_TO"
"340","397","177","IS_AFFILIATED_TO"
"341","399","182","IS_AFFILIATED_TO"
"342","402","255","IS_AFFILIATED_TO"
"343","404","164","IS_AFFILIATED_TO"
"344","407","260","IS_AFFILIATED_TO"
"345","409","176","IS_AFFILIATED_TO"
"346","411","179","IS_AFFILIATED_TO"
"347","412","263","IS_AFFILIATED_TO"
"349","414","207","IS_AFFILIATED_TO"
"350","415","208","IS_AFFILIATED_TO"
"351","416","209","IS_AFFILIATED_TO"
"353","418","211","IS_AFFILIATED_TO"
"354","419","229","IS_AFFILIATED_TO"
"355","420","193","IS_AFFILIATED_TO"
"356","422","212","IS_AFFILIATED_TO"
"357","423","168","IS_AFFILIATED_TO"
"358","424","256","IS_AFFILIATED_TO"
"359","425","179","IS_AFFILIATED_TO"
"360","427","205","IS_AFFILIATED_TO"
"361","429","161","IS_AFFILIATED_TO"
"362","430","176","IS_AFFILIATED_TO"
"363","432","161","IS_AFFILIATED_TO"
"364","433","162","IS_AFFILIATED_TO"
"365","435","257","IS_AFFILIATED_TO"
"366","436","161","IS_AFFILIATED_TO"
"367","437","163","IS_AFFILIATED_TO"
"368","438","200","IS_AFFILIATED_TO"
"369","439","161","IS_AFFILIATED_TO"
"370","440","268","IS_AFFILIATED_TO"
"371","441","161","IS_AFFILIATED_TO"
"372","443","178","IS_AFFILIATED_TO"
"373","444","163","IS_AFFILIATED_TO"
"374","445","269","IS_AFFILIATED_TO"
"375","448","161","IS_AFFILIATED_TO"
"403","277","180","IS_AFFILIATED_TO"
"404","301","203","IS_AFFILIATED_TO"
"407","326","183","IS_AFFILIATED_TO"
"408","338","243","IS_AFFILIATED_TO"
"409","351","180","IS_AFFILIATED_TO"
"410","400","169","IS_AFFILIATED_TO"
"412","431","266","IS_AFFILIATED_TO"
"416","277","181","IS_AFFILIATED_TO"
"417","301","214","IS_AFFILIATED_TO"
"419","326","182","IS_AFFILIATED_TO"
"420","338","244","IS_AFFILIATED_TO"
"421","351","181","IS_AFFILIATED_TO"
"422","400","186","IS_AFFILIATED_TO"
"424","431","267","IS_AFFILIATED_TO"
"428","371","161","IS_AFFILIATED_TO"
"429","371","174","IS_AFFILIATED_TO"
"932","273","709","CREATED"
"933","274","709","CREATED"
"935","276","708","CREATED"
"936","277","708","CREATED"
"937","278","698","CREATED"
"938","279","698","CREATED"
"939","280","698","CREATED"
"940","281","698","CREATED"
"941","282","698","CREATED"
"942","283","698","CREATED"
"943","284","698","CREATED"
"944","285","698","CREATED"
"945","286","698","CREATED"
"946","287","698","CREATED"
"948","289","697","CREATED"
"949","290","697","CREATED"
"950","291","697","CREATED"
"952","293","689","CREATED"
"953","294","689","CREATED"
"955","296","689","CREATED"
"956","298","699","CREATED"
"957","299","699","CREATED"
"958","300","699","CREATED"
"960","305","691","CREATED"
"962","307","691","CREATED"
"963","308","703","CREATED"
"964","309","703","CREATED"
"965","310","703","CREATED"
"966","311","703","CREATED"
"969","314","705","CREATED"
"970","371","705","CREATED"
"972","316","704","CREATED"
"975","319","688","CREATED"
"977","321","688","CREATED"
"979","323","688","CREATED"
"980","326","686","CREATED"
"981","327","686","CREATED"
"982","328","686","CREATED"
"983","329","686","CREATED"
"984","330","686","CREATED"
"985","331","686","CREATED"
"986","332","684","CREATED"
"987","333","684","CREATED"
"988","334","684","CREATED"
"989","335","684","CREATED"
"990","336","684","CREATED"
"991","337","684","CREATED"
"992","338","684","CREATED"
"993","339","684","CREATED"
"994","340","684","CREATED"
"995","341","687","CREATED"
"996","344","714","CREATED"
"997","345","714","CREATED"
"998","346","714","CREATED"
"999","347","714","CREATED"
"1000","349","710","CREATED"
"1002","351","710","CREATED"
"1003","352","710","CREATED"
"1004","353","713","CREATED"
"1005","354","713","CREATED"
"1028","379","712","CREATED"
"1029","380","712","CREATED"
"1031","382","712","CREATED"
"1032","383","712","CREATED"
"1034","385","712","CREATED"
"1035","386","712","CREATED"
"1038","393","694","CREATED"
"1039","394","694","CREATED"
"1040","395","694","CREATED"
"1041","396","694","CREATED"
"1042","397","694","CREATED"
"1044","399","694","CREATED"
"1045","400","692","CREATED"
"1047","402","692","CREATED"
"1049","404","692","CREATED"
"1051","409","693","CREATED"
"1053","411","693","CREATED"
"1054","412","693","CREATED"
"1056","414","693","CREATED"
"1057","415","693","CREATED"
"1058","416","693","CREATED"
"1060","418","693","CREATED"
"1061","420","700","CREATED"
"1063","422","700","CREATED"
"1064","423","700","CREATED"
"1065","424","700","CREATED"
"1066","425","700","CREATED"
"1068","427","711","CREATED"
"1070","429","711","CREATED"
"1071","430","711","CREATED"
"1072","431","711","CREATED"
"1073","432","696","CREATED"
"1074","433","696","CREATED"
"1076","435","696","CREATED"
"1077","436","696","CREATED"
"1078","437","690","CREATED"
"1079","438","690","CREATED"
"1080","439","690","CREATED"
"1081","440","690","CREATED"
"1083","443","702","CREATED"
"1084","444","702","CREATED"
"1085","445","702","CREATED"
"1088","448","702","CREATED"
"1089","297","699","CREATED"
"1090","297","700","CREATED"
"1091","301","685","CREATED"
"1093","301","713","CREATED"
"1094","301","716","CREATED"
"1100","325","693","CREATED"
"1101","325","686","CREATED"
"1102","342","714","CREATED"
"1103","342","708","CREATED"
"1104","343","714","CREATED"
"1105","343","700","CREATED"
"1106","348","713","CREATED"
"1107","348","710","CREATED"
"1109","371","698","CREATED"
"1111","372","716","CREATED"
"1112","387","708","CREATED"
"1115","388","716","CREATED"
"1116","389","716","CREATED"
"1119","390","716","CREATED"
"1125","407","712","CREATED"
"1126","407","693","CREATED"
"1127","419","716","CREATED"
"1128","419","700","CREATED"
"1129","441","702","CREATED"
"1130","441","703","CREATED"
"1131","684","717","GENERATED"
"1132","685","718","GENERATED"
"1133","686","719","GENERATED"
"1134","687","720","GENERATED"
"1135","688","721","GENERATED"
"1136","689","722","GENERATED"
"1137","691","723","GENERATED"
"1138","690","724","GENERATED"
"1139","692","725","GENERATED"
"1140","693","726","GENERATED"
"1141","694","727","GENERATED"
"1143","696","729","GENERATED"
"1144","697","730","GENERATED"
"1145","698","731","GENERATED"
"1146","699","732","GENERATED"
"1147","700","733","GENERATED"
"1148","702","734","GENERATED"
"1149","703","735","GENERATED"
"1150","704","736","GENERATED"
"1151","705","737","GENERATED"
"1152","708","738","GENERATED"
"1153","709","739","GENERATED"
"1154","710","740","GENERATED"
"1155","711","741","GENERATED"
"1156","712","742","GENERATED"
"1157","713","743","GENERATED"
"1158","714","744","GENERATED"
"1160","716","746","GENERATED"
"1264","278","161","IS_AFFILIATED_TO"
